RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
REQUEST	91		GET_usuarios	1710035392216	1710035392220	OK	 
USER	Buscar produtos	69	END	1710035389116	1710035392276
USER	Buscar produtos	95	START	1710035392286	1710035392286
REQUEST	95		GET_produtos	1710035392287	1710035392291	OK	 
USER	Buscar carrinhos	54	END	1710035387616	1710035392306
USER	Buscar produtos	45	END	1710035386616	1710035392406
USER	Buscar usuários	92	START	1710035392416	1710035392416
REQUEST	92		GET_usuarios	1710035392417	1710035392423	OK	 
USER	Buscar usuários	68	END	1710035389616	1710035392506
USER	Buscar usuários	93	START	1710035392616	1710035392616
USER	Buscar produtos	96	START	1710035392616	1710035392616
USER	Buscar carrinhos	97	START	1710035392617	1710035392617
REQUEST	97		GET_carrinhos	1710035392617	1710035392622	OK	 
REQUEST	93		GET_usuarios	1710035392617	1710035392621	OK	 
REQUEST	96		GET_produtos	1710035392617	1710035392624	OK	 
USER	Buscar usuários	98	START	1710035392816	1710035392816
REQUEST	98		GET_usuarios	1710035392817	1710035392822	OK	 
USER	Buscar usuários	67	END	1710035389416	1710035392897
USER	Buscar produtos	52	END	1710035387116	1710035392906
USER	Buscar usuários	57	END	1710035388216	1710035392946
USER	Buscar usuários	81	END	1710035390816	1710035392946
USER	Buscar usuários	99	START	1710035393016	1710035393016
REQUEST	99		GET_usuarios	1710035393017	1710035393023	OK	 
USER	Buscar usuários	66	END	1710035389216	1710035393057
USER	Buscar produtos	103	START	1710035393116	1710035393116
REQUEST	103		GET_produtos	1710035393117	1710035393120	OK	 
USER	Buscar usuários	58	END	1710035388416	1710035393187
USER	Buscar usuários	100	START	1710035393216	1710035393216
REQUEST	100		GET_usuarios	1710035393217	1710035393221	OK	 
USER	Buscar usuários	101	START	1710035393416	1710035393416
REQUEST	101		GET_usuarios	1710035393418	1710035393423	OK	 
USER	Buscar usuários	83	END	1710035391216	1710035393426
USER	Buscar produtos	53	END	1710035387616	1710035393556
USER	Buscar usuários	76	END	1710035390616	1710035393566
USER	Buscar usuários	102	START	1710035393616	1710035393616
USER	Buscar produtos	104	START	1710035393616	1710035393616
USER	Buscar carrinhos	105	START	1710035393616	1710035393616
REQUEST	105		GET_carrinhos	1710035393616	1710035393619	OK	 
REQUEST	102		GET_usuarios	1710035393616	1710035393620	OK	 
REQUEST	104		GET_produtos	1710035393616	1710035393620	OK	 
USER	Buscar carrinhos	46	END	1710035386616	1710035393636
USER	Buscar usuários	106	START	1710035393816	1710035393816
REQUEST	106		GET_usuarios	1710035393817	1710035393821	OK	 
USER	Buscar produtos	111	START	1710035393946	1710035393946
REQUEST	111		GET_produtos	1710035393947	1710035393953	OK	 
USER	Buscar usuários	72	END	1710035389816	1710035393956
USER	Buscar produtos	70	END	1710035389616	1710035394006
USER	Buscar usuários	107	START	1710035394016	1710035394016
REQUEST	107		GET_usuarios	1710035394016	1710035394019	OK	 
USER	Buscar usuários	82	END	1710035391017	1710035394165
USER	Buscar produtos	77	END	1710035389946	1710035394186
USER	Buscar usuários	75	END	1710035390416	1710035394216
USER	Buscar produtos	79	END	1710035390616	1710035394216
USER	Buscar usuários	108	START	1710035394216	1710035394216
REQUEST	108		GET_usuarios	1710035394216	1710035394219	OK	 
USER	Buscar produtos	61	END	1710035388286	1710035394236
USER	Buscar usuários	73	END	1710035390016	1710035394256
USER	Buscar produtos	112	START	1710035394285	1710035394285
REQUEST	112		GET_produtos	1710035394287	1710035394290	OK	 
USER	Buscar usuários	89	END	1710035391816	1710035394356
USER	Buscar usuários	85	END	1710035391616	1710035394356
USER	Buscar usuários	109	START	1710035394416	1710035394416
REQUEST	109		GET_usuarios	1710035394417	1710035394419	OK	 
USER	Buscar produtos	86	END	1710035391115	1710035394546
USER	Buscar usuários	84	END	1710035391416	1710035394566
USER	Buscar usuários	110	START	1710035394615	1710035394615
USER	Buscar produtos	113	START	1710035394616	1710035394616
USER	Buscar carrinhos	114	START	1710035394616	1710035394616
REQUEST	110		GET_usuarios	1710035394616	1710035394619	OK	 
REQUEST	114		GET_carrinhos	1710035394616	1710035394619	OK	 
REQUEST	113		GET_produtos	1710035394616	1710035394620	OK	 
USER	Buscar produtos	78	END	1710035390276	1710035394736
USER	Buscar carrinhos	71	END	1710035389616	1710035394746
USER	Buscar usuários	115	START	1710035394816	1710035394816
REQUEST	115		GET_usuarios	1710035394818	1710035394823	OK	 
USER	Buscar usuários	74	END	1710035390216	1710035394926
