ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
RUN	AdvancedSimulation	advancedsimulation	1710037188708	 	3.2.1
REQUEST	117		GET_usuarios	1710037203288	1710037203292	OK	 
USER	Buscar produtos	86	END	1710037199187	1710037203477
USER	Buscar usuários	118	START	1710037203487	1710037203487
REQUEST	118		GET_usuarios	1710037203488	1710037203492	OK	 
USER	Buscar produtos	77	END	1710037198017	1710037203516
USER	Buscar usuários	119	START	1710037203688	1710037203688
USER	Buscar produtos	121	START	1710037203688	1710037203688
USER	Buscar carrinhos	122	START	1710037203688	1710037203688
USER	Buscar usuários	93	END	1710037200687	1710037203688
REQUEST	122		GET_carrinhos	1710037203689	1710037203695	OK	 
REQUEST	121		GET_produtos	1710037203689	1710037203695	OK	 
REQUEST	119		GET_usuarios	1710037203689	1710037203696	OK	 
USER	Buscar usuários	89	END	1710037199887	1710037203707
USER	Buscar produtos	96	END	1710037200687	1710037203768
USER	Buscar carrinhos	88	END	1710037199687	1710037203777
USER	Buscar usuários	99	END	1710037201086	1710037203868
USER	Buscar produtos	87	END	1710037199687	1710037203877
USER	Buscar usuários	123	START	1710037203888	1710037203888
REQUEST	123		GET_usuarios	1710037203889	1710037203895	OK	 
USER	Buscar usuários	98	END	1710037200887	1710037203998
USER	Buscar produtos	128	START	1710037204017	1710037204017
REQUEST	128		GET_produtos	1710037204018	1710037204024	OK	 
USER	Buscar usuários	124	START	1710037204087	1710037204087
REQUEST	124		GET_usuarios	1710037204088	1710037204094	OK	 
USER	Buscar usuários	92	END	1710037200488	1710037204207
USER	Buscar usuários	125	START	1710037204288	1710037204288
REQUEST	125		GET_usuarios	1710037204289	1710037204295	OK	 
USER	Buscar produtos	79	END	1710037198687	1710037204327
USER	Buscar produtos	129	START	1710037204356	1710037204356
REQUEST	129		GET_produtos	1710037204357	1710037204360	OK	 
USER	Buscar usuários	101	END	1710037201488	1710037204377
USER	Buscar carrinhos	80	END	1710037198687	1710037204388
USER	Buscar produtos	94	END	1710037200017	1710037204417
USER	Buscar usuários	106	END	1710037201887	1710037204477
USER	Buscar usuários	126	START	1710037204488	1710037204488
REQUEST	126		GET_usuarios	1710037204489	1710037204493	OK	 
USER	Buscar produtos	130	START	1710037204687	1710037204687
USER	Buscar usuários	127	START	1710037204687	1710037204687
USER	Buscar carrinhos	131	START	1710037204687	1710037204687
REQUEST	127		GET_usuarios	1710037204687	1710037204691	OK	 
REQUEST	131		GET_carrinhos	1710037204687	1710037204691	OK	 
REQUEST	130		GET_produtos	1710037204687	1710037204692	OK	 
USER	Buscar usuários	100	END	1710037201287	1710037204797
USER	Buscar usuários	132	START	1710037204888	1710037204888
REQUEST	132		GET_usuarios	1710037204889	1710037204895	OK	 
USER	Buscar usuários	107	END	1710037202087	1710037204897
USER	Buscar usuários	133	START	1710037205087	1710037205087
REQUEST	133		GET_usuarios	1710037205088	1710037205093	OK	 
USER	Buscar produtos	137	START	1710037205187	1710037205187
REQUEST	137		GET_produtos	1710037205188	1710037205194	OK	 
USER	Buscar usuários	134	START	1710037205287	1710037205287
REQUEST	134		GET_usuarios	1710037205288	1710037205294	OK	 
USER	Buscar usuários	135	START	1710037205487	1710037205487
REQUEST	135		GET_usuarios	1710037205488	1710037205493	OK	 
USER	Buscar usuários	110	END	1710037202687	1710037205597
USER	Buscar produtos	138	START	1710037205688	1710037205688
USER	Buscar carrinhos	139	START	1710037205688	1710037205688
USER	Buscar usuários	136	START	1710037205688	1710037205688
REQUEST	138		GET_produtos	1710037205689	1710037205696	OK	 
REQUEST	136		GET_usuarios	1710037205690	1710037205697	OK	 
REQUEST	139		GET_carrinhos	1710037205690	1710037205698	OK	 
USER	Buscar usuários	115	END	1710037202887	1710037205787
USER	Buscar carrinhos	105	END	1710037201688	1710037205837
USER	Buscar usuários	140	START	1710037205887	1710037205887
REQUEST	140		GET_usuarios	1710037205888	1710037205893	OK	 
USER	Buscar produtos	95	END	1710037200357	1710037205998
USER	Buscar produtos	145	START	1710037206017	1710037206017
REQUEST	145		GET_produtos	1710037206018	1710037206024	OK	 
USER	Buscar usuários	141	START	1710037206087	1710037206087
REQUEST	141		GET_usuarios	1710037206088	1710037206094	OK	 
USER	Buscar usuários	108	END	1710037202288	1710037206107
USER	Buscar usuários	109	END	1710037202486	1710037206127
USER	Buscar usuários	102	END	1710037201687	1710037206177
USER	Buscar usuários	142	START	1710037206287	1710037206287
REQUEST	142		GET_usuarios	1710037206288	1710037206294	OK	 
USER	Buscar produtos	104	END	1710037201687	1710037206307
USER	Buscar produtos	103	END	1710037201187	1710037206337
USER	Buscar produtos	146	START	1710037206357	1710037206357
REQUEST	146		GET_produtos	1710037206358	1710037206363	OK	 
USER	Buscar usuários	143	START	1710037206487	1710037206487
REQUEST	143		GET_usuarios	1710037206488	1710037206492	OK	 
USER	Buscar usuários	144	START	1710037206688	1710037206688
USER	Buscar produtos	147	START	1710037206688	1710037206688
USER	Buscar carrinhos	148	START	1710037206688	1710037206688
REQUEST	144		GET_usuarios	1710037206689	1710037206694	OK	 
REQUEST	147		GET_produtos	1710037206689	1710037206695	OK	 
REQUEST	148		GET_carrinhos	1710037206689	1710037206695	OK	 
USER	Buscar usuários	118	END	1710037203487	1710037206747
USER	Buscar usuários	116	END	1710037203087	1710037206757
USER	Buscar usuários	149	START	1710037206887	1710037206887
REQUEST	149		GET_usuarios	1710037206888	1710037206891	OK	 
USER	Buscar produtos	111	END	1710037202017	1710037206967
USER	Buscar produtos	121	END	1710037203688	1710037207008
USER	Buscar usuários	150	START	1710037207087	1710037207087
REQUEST	150		GET_usuarios	1710037207088	1710037207092	OK	 
USER	Buscar usuários	123	END	1710037203888	1710037207137
USER	Buscar produtos	154	START	1710037207187	1710037207187
REQUEST	154		GET_produtos	1710037207188	1710037207191	OK	 
USER	Buscar produtos	128	END	1710037204017	1710037207258
USER	Buscar usuários	151	START	1710037207287	1710037207287
REQUEST	151		GET_usuarios	1710037207288	1710037207292	OK	 
